Raspberry Sorbet,1001-1B,#DC7FB4
Blue Burst,4008-10B,
Blue Tango,4007-10B,
Someday,4006-10B,
Jazzy,4005-8B,#778DBF
Blue Shock,4005-10B,#7F97CC
Plum Burst,4002-10B,#A381BA
Berries Galore,4001-10B,#B283B8
Wild Lavender,1002-3B,#A685A8
Purple Stripe,1003-3B,#AE7DA7
Nice Berry,1005-3B,#BF7896
Star Gazer,4008-8B,
Mountain Lake,4006-8B,#6689B8
Violet Twist,4004-8B,#7687C0
Simply Purple,4004-10B,#7D83BD
Grapolicious,4003-10B,#8D7FBA
Plum Shade,1003-5B,#A181A5
Purple Jewel,1004-5B,#A880A2
So Long Shadow,1004-3B,#B2789A
Cosmic Pink,1001-1A,#D26EA4
Rose Dust,1002-1B,#CA6997
Cosmic Blue,4008-10C,
Wellspring,4007-8B,
Burbling Brook,4007-8C,
Peek-A-Boo Blue,4007-10C,
Bedtime Story,4003-8B,#6A7BA2
Dazzle,4005-10C,
Twinkle Night,4004-8C,
Purple Phantom,1001-3B,#917AA4
Dusky Purple,1003-5A,#836484
Sonic Plum,4002-10C,#815A92
Vivid Blue,4006-10C,
Bluer Than Blue,4006-8C,
Regal,4005-8C,
Indigo,4003-8C,
Purple Frenzy,4004-10C,
Rollick,4003-10C,#745A92
Cosmic Berry,4001-10C,#87558C
Pensive Plum,1002-3A,#7A5B7A
Purple Davenport,1003-3A,#825779
Plumberry,1004-3A,#8C546D
Egyptian Blue,4011-7,
Precious Sapphire,4010-7,
Deep Space,4008-8C,
Enchanted Navy,4010-8,
Purple Royalty,4009-10,#725889
Magician's Cloak,1009-8,#794E6C
Brown Cherry,1009-7,#81465D
Berry Brown,1010-7,#673649
Perfect Plum,1011-7,
Poetic Purple,1010-8,
Karmic Grape,4002-8C,
Classic Royal Blue,4009-8,
Homecoming Blue,4009-9,
Jazzy Blue,4010-9,
Spirit Blue,4011-9,
Sumptuous Purple,4010-10,
Dress Rehearsal,7001-20,#F8EBEE
Naiveté,7001-21,#F7EFEC
Apricot Fluff,7001-24,#F8ECE4
Pearly Violet,7001-23,#F2EEE6
Cream Delight,7002-14,#F2EEE5
Pale Bloom,7002-8,#F2EFE5
Dove White,7002-7,#F1EEE4
Bistro White,7006-4,#F0EEE9
Du Jour,7002-6,#F1F0EC
Swiss Coffee,7002-16,#F2F0EA
Exaltation,7001-2,#F8EAEE
Fair Maiden,7001-10,#F5EAEB
Pink Kiss,1007-2C,#F6E9E2
Sugarcane Pink,7001-22,#F3ECE8
Delicate Bliss,7001-8,#F3EBE3
Birchwood White,7002-18,#F3EAE0
Chef White,7002-15,#EFEBDE
Ivory Dust,7003-24,#EFECE0
Polar White,7003-16,#F0EDE2
Lavender Moon,4001-9A,#F7EAEF
Noble Blush,7001-11,#F7E6E8
Helio Prism,1003-4C,#F4E8E9
Origami,7001-6,#EFE5DD
Virtue,7001-15,#EEE7DF
Foggy Skies,7002-4,#EDE6DB
Cozy White,3008-10C,#EDE8DC
Snow Cap,7003-8,#ECE9DD
Snowed In,6004-1A,#EBEAE4
Summer Gray,7006-17,#EAE9E4
Star Light,4001-7A,#E7E6EB
Fainting Violet,1001-8C,#E8E3E4
Winter Dawn,7004-1,#E8E6E6
Timid Violet,4001-3A,#E8E3E2
Seashore Bud,7001-14,#EDE2DA
Cinema Screen,7001-17,#E5E3E1
Riviera Dune,2008-10C,#EBE2D7
Mystique,7006-16,#E8E3D7
Quail Egg,7002-12,#E9E4D8
Satin Snow,7004-17,#E6E4DD
Gossamer Curtains,1002-6C,#E9E2E8
Berry Taffy,1006-6C,#EFDEE1
Gray Shimmer,7004-9,#E4E3E2
Sweet Pastel,1007-8C,#ECDFD9
Blank Canvas,7001-16,#EAE0D7
Heirloom Pink,7001-18,#E4E2DF
Snowy Dusk,7002-3,#E8E3D7
Wispy White,7006-1,#E5E2D9
Decadent,7006-11,#E5E3D7
Dreamy Heather,1004-6C,#EBE0E8
Lilac Intuition,7001-1,#EBE1E4
Winter Sunrise,1002-8C,#EADDE0
Pressed Blossoms,1004-8C,#E7DCDB
Bungalow White,2005-10C,#E9DED4
Ballroom Belle,7001-9,#E4E0DA
Oyster Pearl,7002-2,#E3DED3
Asiago,6005-1A,#E3DFD4
Gilded Linen,6002-1A,#E3E1D8
Soft Silk,7004-2,#E2E1E5
Spring Parade,1001-4C,#E7DFEA
Cool Violet,1001-6C,#E6DFE4
Quartz Pink,1005-8C,#E9D8D6
Napa Dawn,1003-10C,#E1D9D8
Crushed Out,7001-19,#E3D7D2
Vanilla Steam,2006-10C,#E1DAD2
March Breeze,1001-10C,#EEDBCA
Sandstone Gray,7004-18,#D8D7D4
City Steam,7006-5,#E0DED3
Rising Star,4002-7A,#DCDDE4
April Morning,4001-5A,#DEDCDF
Gentle Violet,4002-3A,#E2DDE1
Pretty Orchid,1002-8B,#DFCFD3
Magic Mist,1003-10B,#D2CBCC
Frosted Clover,1001-8B,#D9D1D1
White Pepper,4001-1A,#D6D3D3
Ancestral Haze,1004-10C,#E0D4D1
March Ice,1001-10B,#E7D1C2
Warm Fog,1002-10C,#DED4CC
Warm Putty,6006-1A,#DAD4C8
Filtered Shade,4003-1B,#CDCBC8
Brushed Lavender,4001-3B,#DAD1D7
Berry Cream,1004-10B,#D5C6C2
Modest Silver,4002-1A,#D0CAC7
Stardust Evening,4002-3B,#CECAD3
Sweet Pink,1004-2B,#F9CDD9
Pink Flutter,1005-2A,#F6B2C4
Camille Pink,2002-4B,#EEBBBD
Warm Pink,1006-2B,#FACDCB
Tea Rose,1007-2B,#F9CCCA
Peach Whisper,1008-2B,#F9C5C2
Salmon Bisque,2003-4B,#F6C4BC
Spring Linen,2002-6C,#EBBCB3
Coral Mist,2001-2B,#FBD1C5
Crystal Coral,2004-4B,#FBD1C5
Sweety Pie,1008-4B,#E7B8C1
Timeless Rose,2001-4A,#E8A0A8
Champagne Blush,1008-6B,#E4B2B5
Blushing,2002-4A,#EAACAE
Antique Coral,1007-2A,#EDA09F
Faithful Rose,2001-6B,#EAB6B4
Peach Punch,1008-2A,#F7B1AE
Brushed Rose,2003-4A,#ECA69B
Sweet Marmalade,2003-6B,#E7A993
Shy Time,2002-8B,#DFB8A7
Second Blush,1007-3C,#E89EB2
Thistle Field,1007-6A,#D4A6AE
Nana's Rose,1008-4A,#DA99A2
Rosetti Pink,1008-6A,#D19699
Honeysuckle Rose,2002-3C,#DD9090
Juicy Peach,2001-6A,#DD9C9B
Salmon Run,2002-6B,#DC9E95
Field of Flowers,2001-8A,#CD9489
Princess Peach,2002-8A,#D09D8A
Adobe Glow,1007-10A,#C29C8D
Edwardian Rose,1007-5C,#C6959F
